Student,LPIPS,SSIM
112590057.png,0.0,1.0
112590026.png,0.2195344716310501,0.6779711430465419
112590021.png,0.2603997588157654,0.6354312040240788
112590022.png,0.27626147866249084,0.6022442379758733
112590035.png,0.2851945161819458,0.6348749190207815
112590031.png,0.32276415824890137,0.5433786063199557
110590456.png,0.32515949010849,0.6241695140322744
112590030.png,0.32853031158447266,0.5944081609443118
112590009.png,0.33825770020484924,0.5744462363681799
109810011.png,0.34365835785865784,0.5880069824865053
112590052.png,0.3616953492164612,0.5157493974943266
113378043.png,0.3697203993797302,0.5593828544213655
111332012.png,0.37315279245376587,0.6026085116012725
112590017.png,0.37455230951309204,0.6105352416261347
112590007.png,0.3794492483139038,0.5797108681757799
112590023.png,0.38380223512649536,0.6273523021758409
112590060.png,0.3849921226501465,0.5964275756814399
112590041.png,0.39035531878471375,0.6135996502087702
112590038.png,0.3926542103290558,0.6326992646685109
112590036.png,0.4001730978488922,0.6123360264333157
112590059.png,0.40269625186920166,0.6346566641524187
112590005.png,0.4161967635154724,0.5738758687898672
110590041.png,0.42123180627822876,0.6259551829056754
110820009.png,0.4359115660190582,0.5500806266132543
112590024.png,0.4446994662284851,0.46953492181744894
112590053.png,0.4537956714630127,0.5188841137534035
112590003.png,0.4593557119369507,0.625729904486746
112590029.png,0.46035927534103394,0.6420340406924494
112590056.png,0.47306114435195923,0.6281580171224996
112590033.png,0.47844454646110535,0.596705111608186
112590012.png,0.4814932942390442,0.6168830723865522
112590018.png,0.5060828924179077,0.44313419078090993
